Note_Index,Onset_Time,Duration,Score_MIDI,Score_Freq_Hz,Score_Note_Name,Audio_Freq_Hz,Cents_Error,Is_Measured,Is_Accurate,Voiced_Ratio,Confidence
0,0.000,0.500,55,196.00,G3,N/A,N/A,False,False,0.00,0.00
1,0.000,0.500,71,493.88,B4,N/A,N/A,False,False,0.00,0.00
2,0.500,0.500,54,185.00,F#3,N/A,N/A,False,False,0.00,0.00
3,0.500,0.500,54,185.00,F#3,N/A,N/A,False,False,0.00,0.00
4,0.500,0.500,57,220.00,A3,N/A,N/A,False,False,0.00,0.00
5,0.500,0.500,66,369.99,F#4,N/A,N/A,False,False,0.00,0.00
6,1.000,0.500,64,329.63,E4,194.78,N/A,False,False,0.05,0.55
7,1.500,0.500,55,196.00,G3,293.53,N/A,False,False,0.18,0.70
8,1.500,0.500,66,369.99,F#4,293.53,N/A,False,False,0.18,0.70
9,2.000,0.333,59,246.94,B3,198.18,N/A,False,False,0.07,0.55
10,2.000,0.333,71,493.88,B4,198.18,N/A,False,False,0.07,0.55
11,2.333,0.333,67,392.00,G4,N/A,N/A,False,False,0.00,0.00
12,2.333,0.333,69,440.00,A4,N/A,N/A,False,False,0.00,0.00
13,2.667,0.333,50,146.83,D3,N/A,N/A,False,False,0.00,0.00
14,2.667,0.333,52,164.81,E3,N/A,N/A,False,False,0.00,0.00
15,2.667,0.333,62,293.66,D4,N/A,N/A,False,False,0.00,0.00
16,3.000,0.250,59,246.94,B3,N/A,N/A,False,False,0.00,0.00
17,3.000,0.250,60,261.63,C4,N/A,N/A,False,False,0.00,0.00
18,3.250,0.500,52,164.81,E3,N/A,N/A,False,False,0.00,0.00
19,3.250,0.500,62,293.66,D4,N/A,N/A,False,False,0.00,0.00
20,3.750,0.500,71,493.88,B4,N/A,N/A,False,False,0.00,0.00
21,4.250,0.500,69,440.00,A4,N/A,N/A,False,False,0.00,0.00
22,4.750,0.500,47,123.47,B2,N/A,N/A,False,False,0.00,0.00
23,4.750,0.500,71,493.88,B4,N/A,N/A,False,False,0.00,0.00
24,5.250,0.500,47,123.47,B2,N/A,N/A,False,False,0.00,0.00
25,5.250,0.500,47,123.47,B2,N/A,N/A,False,False,0.00,0.00
26,5.250,0.500,50,146.83,D3,N/A,N/A,False,False,0.00,0.00
27,5.250,0.500,59,246.94,B3,N/A,N/A,False,False,0.00,0.00
28,5.750,0.500,61,277.18,C#4,N/A,N/A,False,False,0.00,0.00
29,6.250,0.500,52,164.81,E3,N/A,N/A,False,False,0.00,0.00
30,6.250,0.500,62,293.66,D4,N/A,N/A,False,False,0.00,0.00
31,6.750,0.500,64,329.63,E4,N/A,N/A,False,False,0.00,0.00
32,7.250,0.500,52,164.81,E3,N/A,N/A,False,False,0.00,0.00
33,7.250,0.500,55,196.00,G3,N/A,N/A,False,False,0.00,0.00
34,7.250,0.500,66,369.99,F#4,N/A,N/A,False,False,0.00,0.00
35,7.250,0.250,54,185.00,F#3,N/A,N/A,False,False,0.00,0.00
36,7.500,0.250,55,196.00,G3,N/A,N/A,False,False,0.00,0.00
37,7.750,0.500,67,392.00,G4,N/A,N/A,False,False,0.00,0.00
38,8.250,0.500,66,369.99,F#4,N/A,N/A,False,False,0.00,0.00
39,8.750,0.250,54,185.00,F#3,N/A,N/A,False,False,0.00,0.00
40,8.750,0.250,54,185.00,F#3,N/A,N/A,False,False,0.00,0.00
41,8.750,0.250,64,329.63,E4,N/A,N/A,False,False,0.00,0.00
42,9.000,0.500,50,146.83,D3,N/A,N/A,False,False,0.00,0.00
43,9.000,0.500,52,164.81,E3,N/A,N/A,False,False,0.00,0.00
44,9.000,0.500,62,293.66,D4,N/A,N/A,False,False,0.00,0.00
45,9.500,0.500,61,277.18,C#4,N/A,N/A,False,False,0.00,0.00
46,10.000,0.500,54,185.00,F#3,N/A,N/A,False,False,0.00,0.00
47,10.000,0.500,62,293.66,D4,N/A,N/A,False,False,0.00,0.00
48,10.500,0.500,54,185.00,F#3,N/A,N/A,False,False,0.00,0.00
49,10.500,0.500,64,329.63,E4,N/A,N/A,False,False,0.00,0.00
50,11.000,0.500,52,164.81,E3,N/A,N/A,False,False,0.00,0.00
51,11.000,0.500,54,185.00,F#3,N/A,N/A,False,False,0.00,0.00
52,11.000,0.500,62,293.66,D4,N/A,N/A,False,False,0.00,0.00
53,11.500,0.500,64,329.63,E4,N/A,N/A,False,False,0.00,0.00
54,12.000,0.500,50,146.83,D3,N/A,N/A,False,False,0.00,0.00
55,12.000,0.500,64,329.63,E4,N/A,N/A,False,False,0.00,0.00
56,12.500,0.500,50,146.83,D3,N/A,N/A,False,False,0.00,0.00
57,12.500,0.500,50,146.83,D3,N/A,N/A,False,False,0.00,0.00
58,12.500,0.500,54,185.00,F#3,N/A,N/A,False,False,0.00,0.00
59,12.500,0.500,62,293.66,D4,N/A,N/A,False,False,0.00,0.00
60,13.000,0.500,64,329.63,E4,N/A,N/A,False,False,0.00,0.00
61,13.500,0.500,57,220.00,A3,N/A,N/A,False,False,0.00,0.00
62,13.500,0.500,71,493.88,B4,N/A,N/A,False,False,0.00,0.00
63,14.000,0.250,69,440.00,A4,N/A,N/A,False,False,0.00,0.00
64,14.250,0.500,71,493.88,B4,N/A,N/A,False,False,0.00,0.00
65,14.750,0.500,54,185.00,F#3,N/A,N/A,False,False,0.00,0.00
66,14.750,0.500,55,196.00,G3,N/A,N/A,False,False,0.00,0.00
67,15.250,0.500,50,146.83,D3,N/A,N/A,False,False,0.00,0.00
68,15.750,0.500,48,130.81,C3,N/A,N/A,False,False,0.00,0.00
69,16.250,0.500,48,130.81,C3,N/A,N/A,False,False,0.00,0.00
70,16.750,0.500,48,130.81,C3,N/A,N/A,False,False,0.00,0.00
71,16.750,0.500,60,261.63,C4,N/A,N/A,False,False,0.00,0.00
72,17.250,0.500,47,123.47,B2,N/A,N/A,False,False,0.00,0.00
73,17.250,0.500,48,130.81,C3,N/A,N/A,False,False,0.00,0.00
74,17.250,0.500,59,246.94,B3,N/A,N/A,False,False,0.00,0.00
75,17.750,0.500,57,220.00,A3,N/A,N/A,False,False,0.00,0.00
76,18.250,0.500,55,196.00,G3,N/A,N/A,False,False,0.00,0.00
77,18.250,0.500,67,392.00,G4,N/A,N/A,False,False,0.00,0.00
78,18.750,0.500,66,369.99,F#4,N/A,N/A,False,False,0.00,0.00
79,18.750,0.500,55,196.00,G3,N/A,N/A,False,False,0.00,0.00
80,19.250,0.333,54,185.00,F#3,N/A,N/A,False,False,0.00,0.00
81,19.250,0.333,64,329.63,E4,N/A,N/A,False,False,0.00,0.00
82,19.583,0.333,50,146.83,D3,N/A,N/A,False,False,0.00,0.00
83,19.583,0.333,50,146.83,D3,N/A,N/A,False,False,0.00,0.00
84,19.583,0.333,60,261.63,C4,N/A,N/A,False,False,0.00,0.00
85,19.917,0.333,59,246.94,B3,N/A,N/A,False,False,0.00,0.00
86,20.250,0.375,78,739.99,F#5,N/A,N/A,False,False,0.00,0.00
87,20.625,0.125,79,783.99,G5,N/A,N/A,False,False,0.00,0.00
88,20.750,0.375,73,554.37,C#5,N/A,N/A,False,False,0.00,0.00
89,21.125,0.125,71,493.88,B4,N/A,N/A,False,False,0.00,0.00
90,21.250,0.500,71,493.88,B4,N/A,N/A,False,False,0.00,0.00
91,23.000,0.125,74,587.33,D5,N/A,N/A,False,False,0.00,0.00
92,23.125,0.125,71,493.88,B4,N/A,N/A,False,False,0.00,0.00
93,23.125,0.125,72,523.25,C5,N/A,N/A,False,False,0.00,0.00
94,23.250,0.500,64,329.63,E4,N/A,N/A,False,False,0.00,0.00
95,23.250,0.500,74,587.33,D5,N/A,N/A,False,False,0.00,0.00
96,23.750,0.500,64,329.63,E4,N/A,N/A,False,False,0.00,0.00
97,23.750,0.500,64,329.63,E4,N/A,N/A,False,False,0.00,0.00
