Note_Index,Onset_Time,Duration,Score_MIDI,Score_Freq_Hz,Score_Note_Name,Audio_Freq_Hz,Cents_Error,Is_Measured,Is_Accurate,Voiced_Ratio,Confidence
0,0.000,0.500,60,261.63,C4,261.51,-0.8,True,True,0.95,0.98
1,0.500,0.500,60,261.63,C4,261.51,-0.8,True,True,1.00,0.96
2,1.000,0.500,67,392.00,G4,391.82,-0.8,True,True,0.95,1.00
3,1.500,0.500,67,392.00,G4,391.82,-0.8,True,True,1.00,1.00
4,2.000,0.500,69,440.00,A4,439.80,-0.8,True,True,1.00,0.99
5,2.500,0.500,69,440.00,A4,439.80,-0.8,True,True,1.00,1.00
6,3.000,1.000,67,392.00,G4,385.09,-30.8,True,True,1.00,0.98
7,4.000,0.500,65,349.23,F4,349.07,-0.8,True,True,0.90,1.00
8,4.500,0.500,65,349.23,F4,329.48,-100.8,True,False,0.91,1.00
9,5.000,0.500,64,329.63,E4,329.48,-0.8,True,True,1.00,0.99
10,5.500,0.500,64,329.63,E4,293.53,-200.8,True,False,0.95,0.99
11,6.000,0.500,62,293.66,D4,293.53,-0.8,True,True,1.00,0.99
12,6.500,0.500,62,293.66,D4,261.51,-200.8,True,False,0.95,1.00
13,7.000,1.000,60,261.63,C4,391.82,699.2,True,False,0.95,1.00
14,8.000,0.500,59,246.94,B3,349.07,599.2,True,False,1.00,0.97
15,8.500,0.500,60,261.63,C4,349.07,499.2,True,False,0.95,0.99
16,9.000,0.500,67,392.00,G4,329.48,-300.8,True,False,0.91,1.00
17,9.500,0.500,67,392.00,G4,329.48,-300.8,True,False,1.00,0.99
18,10.000,0.500,69,440.00,A4,293.53,-700.8,True,False,0.95,0.99
19,10.500,0.500,69,440.00,A4,391.82,-200.8,True,False,0.95,0.99
20,13.000,0.500,65,349.23,F4,329.48,-100.8,True,False,1.00,0.99
21,13.500,0.500,65,349.23,F4,293.53,-300.8,True,False,0.95,0.98
22,14.000,0.500,64,329.63,E4,261.51,-400.8,True,False,0.95,1.00
23,14.500,0.500,64,329.63,E4,261.51,-400.8,True,False,1.00,0.98
24,15.000,0.500,62,293.66,D4,391.82,499.2,True,False,0.91,1.00
25,15.500,0.500,62,293.66,D4,391.82,499.2,True,False,1.00,1.00
26,16.000,1.000,59,246.94,B3,439.80,999.2,True,False,1.00,0.99
27,16.000,1.000,62,293.66,D4,439.80,699.2,True,False,1.00,0.99
